"master_scu";"slave_scu";"qty"
"44.03.00001";"44.50.00001";"1"
"44.03.00001";"44.50.00021";"1"
"44.03.00001";"44.50.00036";"1"
"44.03.00002";"44.50.00001";"1"
"44.03.00002";"44.50.00022";"1"
"44.03.00002";"44.50.00036";"1"
"44.03.00003";"44.50.00001";"1"
"44.03.00003";"44.50.00023";"1"
"44.03.00003";"44.50.00036";"1"
"44.03.00004";"44.50.00002";"1"
"44.03.00004";"44.50.00021";"1"
"44.03.00004";"44.50.00037";"1"
"44.03.00005";"44.50.00002";"1"
"44.03.00005";"44.50.00022";"1"
"44.03.00005";"44.50.00037";"1"
"44.03.00006";"44.50.00002";"1"
"44.03.00006";"44.50.00023";"1"
"44.03.00006";"44.50.00037";"1"
"44.03.00007";"44.50.00003";"1"
"44.03.00007";"44.50.00021";"1"
"44.03.00007";"44.50.00038";"1"
"44.03.00008";"44.50.00003";"1"
"44.03.00008";"44.50.00022";"1"
"44.03.00008";"44.50.00038";"1"
"44.03.00009";"44.50.00003";"1"
"44.03.00009";"44.50.00023";"1"
"44.03.00009";"44.50.00038";"1"
"44.03.00010";"44.50.00004";"1"
"44.03.00010";"44.50.00021";"1"
"44.03.00010";"44.50.00039";"1"
"44.03.00011";"44.50.00004";"1"
"44.03.00011";"44.50.00022";"1"
"44.03.00011";"44.50.00039";"1"
"44.03.00012";"44.50.00004";"1"
"44.03.00012";"44.50.00023";"1"
"44.03.00012";"44.50.00039";"1"
"44.03.00013";"44.50.00005";"1"
"44.03.00013";"44.50.00024";"1"
"44.03.00013";"44.50.00036";"1"
"44.03.00014";"44.50.00005";"1"
"44.03.00014";"44.50.00025";"1"
"44.03.00014";"44.50.00036";"1"
"44.03.00015";"44.50.00005";"1"
"44.03.00015";"44.50.00026";"1"
"44.03.00015";"44.50.00036";"1"
"44.03.00016";"44.50.00006";"1"
"44.03.00016";"44.50.00024";"1"
"44.03.00016";"44.50.00037";"1"
"44.03.00017";"44.50.00006";"1"
"44.03.00017";"44.50.00025";"1"
"44.03.00017";"44.50.00037";"1"
"44.03.00018";"44.50.00006";"1"
"44.03.00018";"44.50.00026";"1"
"44.03.00018";"44.50.00037";"1"
"44.03.00019";"44.50.00007";"1"
"44.03.00019";"44.50.00024";"1"
"44.03.00019";"44.50.00038";"1"
"44.03.00020";"44.50.00007";"1"
"44.03.00020";"44.50.00025";"1"
"44.03.00020";"44.50.00038";"1"
"44.03.00021";"44.50.00007";"1"
"44.03.00021";"44.50.00026";"1"
"44.03.00021";"44.50.00038";"1"
"44.03.00022";"44.50.00008";"1"
"44.03.00022";"44.50.00024";"1"
"44.03.00022";"44.50.00039";"1"
"44.03.00023";"44.50.00008";"1"
"44.03.00023";"44.50.00025";"1"
"44.03.00023";"44.50.00039";"1"
"44.03.00024";"44.50.00008";"1"
"44.03.00024";"44.50.00026";"1"
"44.03.00024";"44.50.00039";"1"
"44.03.00025";"44.50.00009";"1"
"44.03.00025";"44.50.00027";"1"
"44.03.00025";"44.50.00036";"1"
"44.03.00026";"44.50.00009";"1"
"44.03.00026";"44.50.00028";"1"
"44.03.00026";"44.50.00036";"1"
"44.03.00027";"44.50.00009";"1"
"44.03.00027";"44.50.00029";"1"
"44.03.00027";"44.50.00036";"1"
"44.03.00028";"44.50.00010";"1"
"44.03.00028";"44.50.00027";"1"
"44.03.00028";"44.50.00037";"1"
"44.03.00029";"44.50.00010";"1"
"44.03.00029";"44.50.00028";"1"
"44.03.00029";"44.50.00037";"1"
"44.03.00030";"44.50.00010";"1"
"44.03.00030";"44.50.00029";"1"
"44.03.00030";"44.50.00037";"1"
"44.03.00031";"44.50.00011";"1"
"44.03.00031";"44.50.00027";"1"
"44.03.00031";"44.50.00038";"1"
"44.03.00032";"44.50.00011";"1"
"44.03.00032";"44.50.00028";"1"
"44.03.00032";"44.50.00038";"1"
"44.03.00033";"44.50.00011";"1"
"44.03.00033";"44.50.00029";"1"
"44.03.00033";"44.50.00038";"1"
"44.03.00034";"44.50.00012";"1"
"44.03.00034";"44.50.00027";"1"
"44.03.00034";"44.50.00039";"1"
"44.03.00035";"44.50.00012";"1"
"44.03.00035";"44.50.00028";"1"
"44.03.00035";"44.50.00039";"1"
"44.03.00036";"44.50.00012";"1"
"44.03.00036";"44.50.00029";"1"
"44.03.00036";"44.50.00039";"1"
"44.03.00037";"44.50.00013";"1"
"44.03.00037";"44.50.00030";"1"
"44.03.00037";"44.50.00036";"1"
"44.03.00038";"44.50.00013";"1"
"44.03.00038";"44.50.00031";"1"
"44.03.00038";"44.50.00036";"1"
"44.03.00039";"44.50.00013";"1"
"44.03.00039";"44.50.00032";"1"
"44.03.00039";"44.50.00036";"1"
"44.03.00040";"44.50.00014";"1"
"44.03.00040";"44.50.00030";"1"
"44.03.00040";"44.50.00037";"1"
"44.03.00041";"44.50.00014";"1"
"44.03.00041";"44.50.00031";"1"
"44.03.00041";"44.50.00037";"1"
"44.03.00042";"44.50.00014";"1"
"44.03.00042";"44.50.00032";"1"
"44.03.00042";"44.50.00037";"1"
"44.03.00043";"44.50.00015";"1"
"44.03.00043";"44.50.00030";"1"
"44.03.00043";"44.50.00038";"1"
"44.03.00044";"44.50.00015";"1"
"44.03.00044";"44.50.00031";"1"
"44.03.00044";"44.50.00038";"1"
"44.03.00045";"44.50.00015";"1"
"44.03.00045";"44.50.00032";"1"
"44.03.00045";"44.50.00038";"1"
"44.03.00046";"44.50.00016";"1"
"44.03.00046";"44.50.00030";"1"
"44.03.00046";"44.50.00039";"1"
"44.03.00047";"44.50.00016";"1"
"44.03.00047";"44.50.00031";"1"
"44.03.00047";"44.50.00039";"1"
"44.03.00048";"44.50.00016";"1"
"44.03.00048";"44.50.00032";"1"
"44.03.00048";"44.50.00039";"1"
"44.03.00049";"44.50.00017";"1"
"44.03.00049";"44.50.00033";"1"
"44.03.00049";"44.50.00036";"1"
"44.03.00050";"44.50.00017";"1"
"44.03.00050";"44.50.00034";"1"
"44.03.00050";"44.50.00036";"1"
"44.03.00051";"44.50.00017";"1"
"44.03.00051";"44.50.00035";"1"
"44.03.00051";"44.50.00036";"1"
"44.03.00052";"44.50.00018";"1"
"44.03.00052";"44.50.00033";"1"
"44.03.00052";"44.50.00037";"1"
"44.03.00053";"44.50.00018";"1"
"44.03.00053";"44.50.00034";"1"
"44.03.00053";"44.50.00037";"1"
"44.03.00054";"44.50.00018";"1"
"44.03.00054";"44.50.00035";"1"
"44.03.00054";"44.50.00037";"1"
"44.03.00055";"44.50.00019";"1"
"44.03.00055";"44.50.00033";"1"
"44.03.00055";"44.50.00038";"1"
"44.03.00056";"44.50.00019";"1"
"44.03.00056";"44.50.00034";"1"
"44.03.00056";"44.50.00038";"1"
"44.03.00057";"44.50.00019";"1"
"44.03.00057";"44.50.00035";"1"
"44.03.00057";"44.50.00038";"1"
"44.03.00058";"44.50.00020";"1"
"44.03.00058";"44.50.00033";"1"
"44.03.00058";"44.50.00039";"1"
"44.03.00059";"44.50.00020";"1"
"44.03.00059";"44.50.00034";"1"
"44.03.00059";"44.50.00039";"1"
"44.03.00060";"44.50.00020";"1"
"44.03.00060";"44.50.00035";"1"
"44.03.00060";"44.50.00039";"1"
"44.50.00001";"Б-6U-350-ШТНС";"2"
"44.50.00001";"Н-6U";"2"
"44.50.00001";"ГК 355х272х110";"1"
"44.50.00002";"Б-6U-450-ШТНС";"2"
"44.50.00002";"Н-6U";"2"
"44.50.00002";"ГК 455х272х110";"1"
"44.50.00003";"Б-6U-550-ШТНС";"2"
"44.50.00003";"Н-6U";"2"
"44.50.00003";"ГК 555х540х110";"1"
"44.50.00004";"Б-6U-650-ШТНС";"2"
"44.50.00004";"Н-6U";"2"
"44.50.00004";"ГК 655х272х110";"1"
"44.50.00005";"Б-9U-350-ШТНС";"2"
"44.50.00005";"Н-9U";"2"
"44.50.00005";"ГК 355х405х110";"1"
"44.50.00006";"Б-9U-450-ШТНС";"2"
"44.50.00006";"Н-9U";"2"
"44.50.00006";"ГК 455х405х110";"1"
"44.50.00007";"Б-9U-550-ШТНС";"2"
"44.50.00007";"Н-9U";"2"
"44.50.00007";"ГК 555х405х110";"1"
"44.50.00008";"Б-9U-650-ШТНС";"2"
"44.50.00008";"Н-9U";"2"
"44.50.00008";"ГК 655х405х110";"1"
"44.50.00009";"Б-12U-350-ШТНС";"2"
"44.50.00009";"Н-12U";"2"
"44.50.00009";"ГК 355х540х110";"1"
"44.50.00010";"Б-12U-450-ШТНС";"2"
"44.50.00010";"Н-12U";"2"
"44.50.00010";"ГК 455х540х110";"1"
"44.50.00011";"Б-12U-550-ШТНС";"2"
"44.50.00011";"Н-12U";"2"
"44.50.00011";"ГК 555х540х110";"1"
"44.50.00012";"Б-12U-650-ШТНС";"2"
"44.50.00012";"Н-12U";"2"
"44.50.00012";"ГК 655х540х110";"1"
"44.50.00013";"Б-15U-350-ШТНС";"2"
"44.50.00013";"Н-15U";"2"
"44.50.00013";"ГК 355х672х110";"1"
"44.50.00014";"Б-15U-450-ШТНС";"2"
"44.50.00014";"Н-15U";"2"
"44.50.00014";"ГК 455х672х110";"1"
"44.50.00015";"Б-15U-550-ШТНС";"2"
"44.50.00015";"Н-15U";"2"
"44.50.00015";"ГК 555х672х110";"1"
"44.50.00016";"Б-15U-650-ШТНС";"2"
"44.50.00016";"Н-15U";"2"
"44.50.00016";"ГК 655х672х110";"1"
"44.50.00017";"Б-18U-350-ШТНС";"2"
"44.50.00017";"Н-18U";"2"
"44.50.00017";"ГК 355х805х110";"1"
"44.50.00018";"Б-18U-450-ШТНС";"2"
"44.50.00018";"Н-18U";"2"
"44.50.00018";"ГК 455х805х110";"1"
"44.50.00019";"Б-18U-550-ШТНС";"2"
"44.50.00019";"Н-18U";"2"
"44.50.00019";"ГК 555х805х110";"1"
"44.50.00020";"Б-18U-650-ШТНС";"2"
"44.50.00020";"Н-18U";"2"
"44.50.00020";"ГК 655х805х110";"1"
"44.50.00021";"Д-6U-М";"1"
"44.50.00021";"З-П";"1"
"44.50.00021";"ГК 542х265х20";"1"
"44.50.00022";"Д- 6U-П";"1"
"44.50.00022";"З-П";"1"
"44.50.00022";"ГК 542х265х20";"1"
"44.50.00023";"Д-6U-С";"1"
"44.50.00023";"З-П";"1"
"44.50.00023";"ГК 542х265х20";"1"
"44.50.00024";"Д- 9U-М";"1"
"44.50.00024";"З-П";"1"
"44.50.00024";"ГК 542х400х20";"1"
"44.50.00025";"Д-9U-П";"1"
"44.50.00025";"З-П";"1"
"44.50.00025";"ГК 542х400х20";"1"
"44.50.00026";"Д-9U-С";"1"
"44.50.00026";"З-П";"1"
"44.50.00026";"ГК 542х400х20";"1"
"44.50.00027";"Д-12U-М";"1"
"44.50.00027";"З-П";"1"
"44.50.00027";"ГК 542х535х20";"1"
"44.50.00028";"Д-12U-П";"1"
"44.50.00028";"З-П";"1"
"44.50.00028";"ГК 542х535х20";"1"
"44.50.00029";"Д-12U-С";"1"
"44.50.00029";"З-П";"1"
"44.50.00029";"ГК 542х535х20";"1"
"44.50.00030";"Д-15U-М";"1"
"44.50.00030";"З-П";"1"
"44.50.00030";"ГК 542х665х20";"1"
"44.50.00031";"Д-15U-П";"1"
"44.50.00031";"З-П";"1"
"44.50.00031";"ГК 542х665х20";"1"
"44.50.00032";"Д-15U-С";"1"
"44.50.00032";"З-П";"1"
"44.50.00032";"ГК 542х665х20";"1"
"44.50.00033";"Д-18U-М";"1"
"44.50.00033";"З-П";"1"
"44.50.00033";"ГК 542х800х20";"1"
"44.50.00034";"Д-18U-П";"1"
"44.50.00034";"З-П";"1"
"44.50.00034";"ГК 542х800х20";"1"
"44.50.00035";"Д-18U-С";"1"
"44.50.00035";"З-П";"1"
"44.50.00035";"ГК 542х800х20";"1"
"44.50.00036";"О-350";"2"
"44.50.00036";"К-З";"1"
"44.50.00036";"К-К";"1"
"44.50.00036";"ГК 605х355х75";"1"
"44.50.00037";"О-450";"2"
"44.50.00037";"К-З";"1"
"44.50.00037";"К-К";"1"
"44.50.00037";"ГК 605х455х75";"1"
"44.50.00038";"О-550";"2"
"44.50.00038";"К-З";"1"
"44.50.00038";"К-К";"1"
"44.50.00038";"ГК 605х555х75";"1"
"44.50.00039";"О-650";"2"
"44.50.00039";"К-З";"1"
"44.50.00039";"К-К";"1"
"44.50.00039";"ГК 605х655х75";"1"
