"place_id";"detail_id"
"44.50.00001";"1"
"44.50.00001";"40"
"44.50.00001";"48"
"44.50.00002";"2"
"44.50.00002";"40"
"44.50.00002";"49"
"44.50.00003";"3"
"44.50.00003";"40"
"44.50.00003";"58"
"44.50.00004";"4"
"44.50.00004";"40"
"44.50.00004";"51"
"44.50.00005";"5"
"44.50.00005";"41"
"44.50.00005";"52"
"44.50.00006";"6"
"44.50.00006";"41"
"44.50.00006";"53"
"44.50.00007";"7"
"44.50.00007";"41"
"44.50.00007";"54"
"44.50.00008";"8"
"44.50.00008";"41"
"44.50.00008";"55"
"44.50.00009";"9"
"44.50.00009";"42"
"44.50.00009";"56"
"44.50.00010";"10"
"44.50.00010";"42"
"44.50.00010";"57"
"44.50.00011";"11"
"44.50.00011";"42"
"44.50.00011";"58"
"44.50.00012";"12"
"44.50.00012";"42"
"44.50.00012";"59"
"44.50.00013";"13"
"44.50.00013";"43"
"44.50.00013";"60"
"44.50.00014";"14"
"44.50.00014";"43"
"44.50.00014";"61"
"44.50.00015";"15"
"44.50.00015";"43"
"44.50.00015";"62"
"44.50.00016";"16"
"44.50.00016";"43"
"44.50.00016";"63"
"44.50.00017";"17"
"44.50.00017";"44"
"44.50.00017";"64"
"44.50.00018";"18"
"44.50.00018";"44"
"44.50.00018";"65"
"44.50.00019";"19"
"44.50.00019";"44"
"44.50.00019";"66"
"44.50.00020";"20"
"44.50.00020";"44"
"44.50.00020";"67"
"44.50.00021";"21"
"44.50.00021";"46"
"44.50.00021";"68"
"44.50.00022";"22"
"44.50.00022";"46"
"44.50.00022";"68"
"44.50.00023";"23"
"44.50.00023";"46"
"44.50.00023";"68"
"44.50.00024";"24"
"44.50.00024";"46"
"44.50.00024";"69"
"44.50.00025";"25"
"44.50.00025";"46"
"44.50.00025";"69"
"44.50.00026";"26"
"44.50.00026";"46"
"44.50.00026";"69"
"44.50.00027";"27"
"44.50.00027";"46"
"44.50.00027";"70"
"44.50.00028";"28"
"44.50.00028";"46"
"44.50.00028";"70"
"44.50.00029";"29"
"44.50.00029";"46"
"44.50.00029";"70"
"44.50.00030";"30"
"44.50.00030";"46"
"44.50.00030";"71"
"44.50.00031";"31"
"44.50.00031";"46"
"44.50.00031";"71"
"44.50.00032";"32"
"44.50.00032";"46"
"44.50.00032";"71"
"44.50.00033";"33"
"44.50.00033";"46"
"44.50.00033";"72"
"44.50.00034";"34"
"44.50.00034";"46"
"44.50.00034";"72"
"44.50.00035";"35"
"44.50.00035";"46"
"44.50.00035";"72"
"44.50.00036";"36"
"44.50.00036";"45"
"44.50.00036";"47"
"44.50.00036";"73"
"44.50.00037";"37"
"44.50.00037";"45"
"44.50.00037";"47"
"44.50.00037";"74"
"44.50.00038";"38"
"44.50.00038";"45"
"44.50.00038";"47"
"44.50.00038";"75"
"44.50.00039";"39"
"44.50.00039";"45"
"44.50.00039";"47"
"44.50.00039";"76"
